
# ====== Port number : 3000 ======

########################################
# SR SequentialExecute for /192.168.0.2:3000
#  Repeat Count = 100
# Client Configuration @2011-09-08 04:10:49
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
# SR SequentialExecute for /192.168.0.2:3100
#  Repeat Count = 10
# Client Configuration @2011-09-08 05:37:15
#  Task time = 10000
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	10027.31349	2.893266541988984	1315431465532	1315431565938
2	7514.014159999999	1.9757450944977797	1315431565939	1315431666152
3	6677.14415	1.415526592828596	1315431666152	1315431766316
4	6258.223780000001	0.5923509846853199	1315431766316	1315431866452
5	6007.331260000001	0.5554689326571417	1315431866452	1315431966573
6	5840.50925	0.29875103434689987	1315431966573	1315432066688
7	5721.30722	0.7856227022695648	1315432066688	1315432166810
8	5631.812669999999	0.7495466425045921	1315432166811	1315432266929
9	5561.516070000001	0.6059904141400583	1315432266929	1315432367034
10	5506.92332	1.3506376082364222	1315432367034	1315432467147
11	5461.077910000001	1.0043222247521293	1315432467147	1315432567262
12	5422.6672	0.7100672816394138	1315432567262	1315432667367
13	5528.06368	434.72903664564393	1315432667367	1315432768843
14	5362.9391000000005	0.6579645808132687	1315432768843	1315432868944
15	5339.735640000001	1.0078505936815225	1315432868944	1315432969051
16	5318.94572	0.8109433839715586	1315432969052	1315433069164
17	5299.95191	0.36720146892120364	1315433069165	1315433169270
18	5284.3378	0.7139606313201875	1315433169270	1315433269385
19	5270.290660000001	1.6479773820895922	1315433269386	1315433369510
20	5256.29998	0.8056446666502092	1315433369510	1315433469619
21	5244.93164	1.0995763574600346	1315433469620	1315433569741
22	5233.3728	0.5897648009740579	1315433569741	1315433669851
23	5223.66316	0.38057063533826074	1315433669851	1315433769963
24	5215.29466	1.2195875789263033	1315433769963	1315433870088

########################################
# SR ParallelExecute for /192.168.0.2:3100
#  Repeat Count = 10
# Client Configuration @2011-09-08 06:17:50
#  Task time = 10000
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	10021.030949999998	1.1344837123784566	1315433900186	1315434000515
2	5018.08777	1.87693837160365	1315434000515	1315434050819
3	3349.28275	0.9290940441310057	1315434050819	1315434084434
